id,bubble_id,last_synced_at,created_at,updated_at,total_amount,created_date,record_month,linked_user,modified_date,linked_invoice,created_by,all_full_on_date,achieved_tier_bonus
27,1735617152540x565937982324298050,2025-09-12T07:48:55.741Z,2025-09-12T07:48:55.741Z,2025-09-12T07:48:55.741Z,165442.89,2024-12-31T03:52:32.546Z,2024-12-01 00:00:00+00,1705557637059x292766633570082050,2024-12-31T03:52:32.627Z,"[""1730875466420x421497206218948600"", ""1733404189471x560109009818877950"", ""1734350705250x906217442542092300"", ""1735401308675x604758810241007600"", ""1735402159336x561610563126296600"", ""1735487946766x856162696745451500""]",non_authenticated_user_eternalgy_live,,
28,1735617154180x679395253066235300,2025-09-12T07:48:55.752Z,2025-09-12T07:48:55.752Z,2025-09-12T07:48:55.752Z,,2024-12-31T03:52:34.185Z,2024-04-01 00:00:00+00,1705563140333x593203138592086700,2024-12-31T03:52:34.248Z,,non_authenticated_user_eternalgy_live,,
29,1735617154506x589860795221142100,2025-09-12T07:48:55.756Z,2025-09-12T07:48:55.756Z,2025-09-12T07:48:55.756Z,,2024-12-31T03:52:34.514Z,2024-05-01 00:00:00+00,1705563140333x593203138592086700,2024-12-31T03:52:34.577Z,,non_authenticated_user_eternalgy_live,,
30,1735617154772x271699405589018720,2025-09-12T07:48:55.759Z,2025-09-12T07:48:55.759Z,2025-09-12T07:48:55.759Z,,2024-12-31T03:52:34.777Z,2024-06-01 00:00:00+00,1705563140333x593203138592086700,2024-12-31T03:52:34.845Z,,non_authenticated_user_eternalgy_live,,
31,1735617155030x797443213757473700,2025-09-12T07:48:55.767Z,2025-09-12T07:48:55.767Z,2025-09-12T07:48:55.767Z,,2024-12-31T03:52:35.036Z,2024-07-01 00:00:00+00,1705563140333x593203138592086700,2024-12-31T03:52:35.098Z,,non_authenticated_user_eternalgy_live,,
32,1735617155282x704721129191976400,2025-09-12T07:48:55.771Z,2025-09-12T07:48:55.771Z,2025-09-12T07:48:55.771Z,,2024-12-31T03:52:35.290Z,2024-08-01 00:00:00+00,1705563140333x593203138592086700,2024-12-31T03:52:35.363Z,,non_authenticated_user_eternalgy_live,,
33,1735617155547x393442469492700800,2025-09-12T07:48:55.778Z,2025-09-12T07:48:55.778Z,2025-09-12T07:48:55.778Z,,2024-12-31T03:52:35.552Z,2024-09-01 00:00:00+00,1705563140333x593203138592086700,2024-12-31T03:52:35.616Z,,non_authenticated_user_eternalgy_live,,
34,1735617155817x498675998989669200,2025-09-12T07:48:55.785Z,2025-09-12T07:48:55.785Z,2025-09-12T07:48:55.785Z,,2024-12-31T03:52:35.823Z,2024-10-01 00:00:00+00,1705563140333x593203138592086700,2024-12-31T03:52:35.889Z,,non_authenticated_user_eternalgy_live,,
35,1735617156091x275547331175010530,2025-09-12T07:48:55.791Z,2025-09-12T07:48:55.791Z,2025-09-12T07:48:55.791Z,,2024-12-31T03:52:36.099Z,2024-11-01 00:00:00+00,1705563140333x593203138592086700,2024-12-31T03:52:36.166Z,,non_authenticated_user_eternalgy_live,,
36,1735617156332x343807040167221080,2025-09-12T07:48:55.797Z,2025-09-12T07:48:55.797Z,2025-09-12T07:48:55.797Z,26506.9,2024-12-31T03:52:36.340Z,2024-12-01 00:00:00+00,1705563140333x593203138592086700,2024-12-31T03:52:36.398Z,"[""1733049814895x977345213841801200"", ""1735373777032x603693288796454900""]",non_authenticated_user_eternalgy_live,,
37,1735617158344x734226128540305100,2025-09-12T07:48:55.801Z,2025-09-12T07:48:55.801Z,2025-09-12T07:48:55.801Z,,2024-12-31T03:52:38.351Z,2024-04-01 00:00:00+00,1705563215416x249775551318252900,2024-12-31T03:52:38.425Z,,non_authenticated_user_eternalgy_live,,
38,1735617158653x232937690854971170,2025-09-12T07:48:55.806Z,2025-09-12T07:48:55.806Z,2025-09-12T07:48:55.806Z,,2024-12-31T03:52:38.659Z,2024-05-01 00:00:00+00,1705563215416x249775551318252900,2024-12-31T03:52:38.722Z,,non_authenticated_user_eternalgy_live,,
39,1735617158885x779994816566009700,2025-09-12T07:48:55.811Z,2025-09-12T07:48:55.811Z,2025-09-12T07:48:55.811Z,,2024-12-31T03:52:38.890Z,2024-06-01 00:00:00+00,1705563215416x249775551318252900,2024-12-31T03:52:38.939Z,,non_authenticated_user_eternalgy_live,,
40,1735617159101x261543518184825800,2025-09-12T07:48:55.815Z,2025-09-12T07:48:55.815Z,2025-09-12T07:48:55.815Z,,2024-12-31T03:52:39.105Z,2024-07-01 00:00:00+00,1705563215416x249775551318252900,2024-12-31T03:52:39.157Z,,non_authenticated_user_eternalgy_live,,
41,1735617159325x921703419052597200,2025-09-12T07:48:55.819Z,2025-09-12T07:48:55.819Z,2025-09-12T07:48:55.819Z,39292,2024-12-31T03:52:39.330Z,2024-08-01 00:00:00+00,1705563215416x249775551318252900,2024-12-31T03:52:39.390Z,"[""1721380910883x173037055355912200""]",non_authenticated_user_eternalgy_live,,
42,1735617159576x282308968466973730,2025-09-12T07:48:55.824Z,2025-09-12T07:48:55.824Z,2025-09-12T07:48:55.824Z,,2024-12-31T03:52:39.584Z,2024-09-01 00:00:00+00,1705563215416x249775551318252900,2024-12-31T03:52:39.653Z,,non_authenticated_user_eternalgy_live,,
43,1735617159870x452591383171993400,2025-09-12T07:48:55.826Z,2025-09-12T07:48:55.826Z,2025-09-12T07:48:55.826Z,,2024-12-31T03:52:39.891Z,2024-10-01 00:00:00+00,1705563215416x249775551318252900,2024-12-31T03:52:39.965Z,,non_authenticated_user_eternalgy_live,,
44,1735617160151x876060084356815900,2025-09-12T07:48:55.831Z,2025-09-12T07:48:55.831Z,2025-09-12T07:48:55.831Z,,2024-12-31T03:52:40.157Z,2024-11-01 00:00:00+00,1705563215416x249775551318252900,2024-12-31T03:52:40.222Z,,non_authenticated_user_eternalgy_live,,
45,1735617160414x912269862237264300,2025-09-12T07:48:55.836Z,2025-09-12T07:48:55.836Z,2025-09-12T07:48:55.836Z,,2024-12-31T03:52:40.420Z,2024-12-01 00:00:00+00,1705563215416x249775551318252900,2024-12-31T03:52:40.516Z,,non_authenticated_user_eternalgy_live,,
46,1735617166967x720728642558382300,2025-09-12T07:48:55.840Z,2025-09-12T07:48:55.840Z,2025-09-12T07:48:55.840Z,,2024-12-31T03:52:46.973Z,2024-04-01 00:00:00+00,1706779260181x773919741212721400,2024-12-31T03:52:47.038Z,,non_authenticated_user_eternalgy_live,,
47,1735617167224x676639765606319000,2025-09-12T07:48:55.848Z,2025-09-12T07:48:55.848Z,2025-09-12T07:48:55.848Z,,2024-12-31T03:52:47.231Z,2024-05-01 00:00:00+00,1706779260181x773919741212721400,2024-12-31T03:52:47.310Z,,non_authenticated_user_eternalgy_live,,
48,1735617167508x829712440728005600,2025-09-12T07:48:55.850Z,2025-09-12T07:48:55.850Z,2025-09-12T07:48:55.850Z,,2024-12-31T03:52:47.512Z,2024-06-01 00:00:00+00,1706779260181x773919741212721400,2024-12-31T03:52:47.577Z,,non_authenticated_user_eternalgy_live,,
49,1735617167778x916027443884696700,2025-09-12T07:48:55.857Z,2025-09-12T07:48:55.857Z,2025-09-12T07:48:55.857Z,,2024-12-31T03:52:47.786Z,2024-07-01 00:00:00+00,1706779260181x773919741212721400,2024-12-31T03:52:47.851Z,,non_authenticated_user_eternalgy_live,,
50,1735617168076x219903627893238240,2025-09-12T07:48:55.862Z,2025-09-12T07:48:55.862Z,2025-09-12T07:48:55.862Z,,2024-12-31T03:52:48.081Z,2024-08-01 00:00:00+00,1706779260181x773919741212721400,2024-12-31T03:52:48.144Z,,non_authenticated_user_eternalgy_live,,
51,1735617168315x158310626677486960,2025-09-12T07:48:56.143Z,2025-09-12T07:48:56.143Z,2025-09-12T07:48:56.143Z,,2024-12-31T03:52:48.320Z,2024-09-01 00:00:00+00,1706779260181x773919741212721400,2024-12-31T03:52:48.383Z,,non_authenticated_user_eternalgy_live,,
52,1735617168575x150418412096493980,2025-09-12T07:48:56.147Z,2025-09-12T07:48:56.147Z,2025-09-12T07:48:56.147Z,32880,2024-12-31T03:52:48.580Z,2024-10-01 00:00:00+00,1706779260181x773919741212721400,2024-12-31T03:52:48.643Z,"[""1727330933827x706767796938997800""]",non_authenticated_user_eternalgy_live,,
53,1735617168833x601989544115043100,2025-09-12T07:48:56.151Z,2025-09-12T07:48:56.151Z,2025-09-12T07:48:56.151Z,,2024-12-31T03:52:48.840Z,2024-11-01 00:00:00+00,1706779260181x773919741212721400,2024-12-31T03:52:48.908Z,,non_authenticated_user_eternalgy_live,,
54,1735617169142x496782602872517950,2025-09-12T07:48:56.158Z,2025-09-12T07:48:56.158Z,2025-09-12T07:48:56.158Z,,2024-12-31T03:52:49.147Z,2024-12-01 00:00:00+00,1706779260181x773919741212721400,2024-12-31T03:52:49.225Z,,non_authenticated_user_eternalgy_live,,
